 April ; Apr 	 april 	 time 
 even ; fifty-fifty 	 vlak 	 adjective 
 evening ; eve ; even ; eventide 	 avond 	 time 
 event 	 evenement ; gebeurtenis 	 abstract 
 every 	 ieder ; elk ; elke 	 adjective 
 everything 	 alles 	 pronoun 
 evidence 	 bewijs 	 abstract 
 examination ; exam ; test 	 examen 	 communication 
 example ; illustration ; instance ; representative 	 voorbeeld 	 communication 
 exceed ; transcend ; overstep ; pass ; go past ; top 	 overtreffen 	 verb 
 excellent ; first-class ; fantabulous ; splendid 	 uitstekend 	 adjective 
 exist ; be 	 bestaan 	 verb 
 exit ; go out ; get out ; leave 	 laten 	 verb 
 expect ; look ; await ; wait 	 verwachten 	 verb 
 experience 	 ervaring 	 communication 
 experience 	 ervaring 	 society 
 expert 	 vakman 	 profession 
 explain ; explicate 	 uitleggen ; verklaren 	 verb 
 express ; limited 	 expres 	 transport 
 expression ; look ; aspect ; facial expression ; face 	 blik 	 communication 
 eye ; oculus ; optic 	 oog 	 anatomy 
 fabric ; cloth ; material ; textile 	 laken 	 material 
 face ; human face 	 het hoofd bieden ; gezicht ; aangezicht ; gelaat 	 anatomy 
 fact 	 feit 	 abstract 
 factory ; mill ; manufacturing plant ; manufactory 	 fabriek 	 city 
 fail ; neglect 	 falen 	 verb 
 fake ; false ; faux ; imitation ; simulated 	 vals 	 adjective 
 fall 	 vallen 	 verb 
 fall ; autumn 	 herfst 	 nature 
 false 	 vals 	 adjective 
 false ; mistaken 	 onjuist 	 adjective 
 family ; family unit 	 Familie 	 family 
 family ; household ; house ; home ; menage 	 familie ; gezin 	 family 
 far 	 ver ; ver 	 adjective 
 farm 	 agrarisch ; boerderij 	 nature 
 fast 	 vasten ; snel ; vlug ; rap ; kwiek ; gezwind 	 logistics 
 fat 	 vet 	 material 
 fat 	 vet ; vette ; dik ; dikke ; gezet ; gezette ; corpulent 	 adjective 
 father ; male parent ; begetter 	 vader 	 family 
 fatty ; fat 	 vettig 	 adjective 
 fear 	 vrezen 	 verb 
 fear ; fearfulness ; fright 	 vrees ; angst ; schrik ; bibber 	 relations 
 feather ; plume ; plumage 	 pluim ; veer ; veder 	 object 
 feature ; characteristic 	 eigenschap 	 abstract 
 feel ; experience 	 gevoelen 	 verb 
 feel ; sense 	 tasten 	 verb 
 feeling 	 gevoel 	 communication 
 female 	 vrouwelijk 	 adjective 
 female ; female person 	 vrouw 	 society 
 few 	 weinig 	 adjective 
 fiddling ; footling ; lilliputian ; little ; niggling ; piddling ; piffling ; petty ; picayune ; trivial 	 gering 	 adjective 
 field 	 veld (for crops) ; wei (for animals) 	 nature 
 fierce ; tearing ; vehement ; violent ; trigger-happy 	 gewelddadig 	 adjective 
 fifteen ; 15 ; xv 	 vijftien 	 number 
 fifth ; 5th 	 vijfde ; 5de ; 5e 	 number 
 fifty ; 50 ; l 	 vijftig 	 number 
 fight ; fighting ; combat ; scrap 	 gevecht 	 abstract 
 fill ; fill up ; make full 	 vullen 	 verb 
 film ; cinema ; celluloid 	 film 	 object 
 find ; regain 	 vinden 	 verb 
 finger 	 vinger 	 anatomy 
 finish ; destination ; goal 	 bestemming 	 abstract 
 fire 	 brand 	 nature 
 fire ; flame ; flaming 	 vuur ; vlam 	 nature 
 firm ; house ; business firm 	 bedrijf 	 business 
 firm ; solid 	 stevig 	 adjective 
 first 	 eerst 	 adjective 
 first ; firstly ; foremost ; first of all ; first off 	 eerste 	 adverb 
 fiscal ; financial 	 financieel 	 adjective 
 fish 	 vissen 	 animal 
 five ; 5 ; v 	 vijf 	 number 
 fix ; prepare ; set up ; ready ; gear up ; set 	 voorbereiden 	 verb 
 fixed 	 vast 	 adjective 
 flag 	 vlag ; vaandel 	 object 
 flat ; level ; plane 	 vlak ; plat 	 adjective 
 flight ; flying 	 vlucht ; vliegen 	 transport 
 flim-flam ; play a joke on ; play tricks ; trick ; fob ; fox ; pull a fast one on ; play a trick on 	 beetnemen 	 verb 
 floor ; flooring 	 vloer 	 house 
 floor ; level ; storey ; story 	 verdieping 	 house 
 flower 	 bloem 	 nature 
 flush ; level ; even out ; even 	 gelijkmaken 	 verb 
 fly 	 vlieg 	 animal 
 fly ; wing 	 vliegen 	 verb 
 fold ; crease ; plication ; flexure ; crimp ; bend 	 bocht 	 object 
 follow 	 volgen 	 verb 
 following ; next 	 volgende 	 adjective 
 food ; nutrient 	 voedsel 	 food 
 foot ; human foot ; pes 	 voet 	 anatomy 
 football ; football game 	 voetbal ; rugby 	 sports 
 footing ; basis ; ground 	 basis 	 mathematics 
 footstep ; pace ; step ; stride 	 treden ; stap 	 mathematics 
 for 	 want 	 conjunction 
 force ; forcefulness ; strength 	 doordrukken ; kracht 	 abstract 
 foreign ; strange 	 buitenlands ; vreemd 	 adjective 
 forest ; wood ; woods 	 hout ; woud 	 nature 
 forget 	 vergeten 	 verb 
 forgive 	 vergeven 	 verb 
 fork 	 vork 	 food 
 form 	 formulier 	 society 
 form ; shape ; cast 	 vorm 	 art 
 forty ; 40 ; xl ; twoscore 	 veertig 	 number 
 forward ; forwards ; frontward ; frontwards ; forrad ; forrard 	 vooruit 	 adverb 
 four ; 4 ; iv 	 vier 	 number 
 fourteen ; 14 ; xiv 	 veertien 	 number 
 fourth ; 4th ; quaternary 	 vierde ; 4de ; 4e 	 number 
 fourth dimension ; time 	 tijd 	 physics 
 frame 	 lijst ; raam 	 object 
 free 	 vrij 	 adjective 
 free ; liberate ; release ; unloose ; unloosen ; loose 	 verlossen 	 verb 
 frequent 	 frequent ; frequente 	 adjective 
 frequently ; often ; oftentimes ; oft ; ofttimes 	 vaak ; dikwijls 	 adverb 
 fresh 	 fris 	 adjective 
 friend 	 vriendin ; maatje or ; maatje or 	 family 
 friendly 	 vriendelijk 	 adjective 
 front 	 voorste 	 adjective 
 front ; front end ; forepart 	 front 	 abstract 
 fruit 	 vrucht 	 food 
 full 	 vol 	 adjective 
 full ; total 	 totaal 	 adjective 
 fume ; smoke 	 roken 	 verb 
 function ; office ; part ; role 	 functie 	 mathematics 
 function ; purpose ; role ; use 	 het doen ; functie 	 linguistics 
 function ; work ; operate ; go ; run 	 werken 	 verb 
 furniture ; piece of furniture ; article of furniture 	 meubilair 	 house 
 further ; farther 	 verder 	 adjective 
 future 	 toekomstig 	 adjective 
 future ; hereafter ; futurity ; time to come 	 toekomst ; onvoltooid toekomende tijd 	 time 
 gamble ; chance ; risk ; hazard ; take chances ; adventure ; run a risk ; take a chance 	 wagen 	 verb 
 game 	 spel 	 mathematics 
 game 	 spel 	 sports 
 garage 	 garage 	 transport 
 garden 	 tuin 	 house 
 gate 	 draaihek 	 house 
 gene ; cistron ; factor 	 gen 	 anatomy 
 general 	 algemeen 	 adjective 
 general ; full general 	 generaal 	 profession 
 get ; acquire 	 verkrijgen 	 verb 
 get down ; begin ; get ; start out ; start ; set about ; set out ; commence 	 beginnen 	 verb 
 girl ; miss ; missy ; young lady ; young woman ; fille 	 meisje ; juffrouw 	 family 
 girlfriend ; girl ; lady friend 	 vriendin 	 family 
 give 	 geven ; overhandigen 	 verb 
 glass 	 glas 	 material 
 glass ; drinking glass 	 glas 	 food 
 glue ; gum ; mucilage 	 lijm 	 material 
 glue ; paste 	 aanplakken 	 verb 
 gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 kleverig 	 adjective 
 goal 	 doel 	 sports 
 goat ; caprine animal 	 geit 	 animal 
 gold ; Au ; atomic number 79 	 goud 	 material 
 golf ; golf game 	 golf 	 travelling 
 good 	 goed 	 adjective 
 good ; goodness 	 goed ; goede 	 abstract 
 good ; sound 	 gezond 	 adjective 
 govern ; rule 	 regeren 	 verb 
 government ; authorities ; regime 	 regering 	 society 
 gradient ; slope 	 helling 	 mathematics 
 grain 	 graan 	 material 
 grandfather ; gramps ; granddad ; grandad ; granddaddy ; grandpa 	 grootvader ; opa ; opoe ; bompa 	 family 
 grass 	 gras 	 nature 
 gray ; grayness ; grey ; greyness 	 grijs 	 color 
 green ; greenish ; light-green ; dark-green 	 groen 	 color 
 grey ; gray ; greyish ; grayish 	 grij 	 adjective 
 group ; grouping 	 groep 	 abstract 
 grow 	 groeien 	 verb 
 guest ; invitee 	 gast ; bezoeker 	 travelling 
 guitar 	 gitaar 	 object 
 gun 	 geweer ; vuurwapen ; pistool 	 object 
 hair 	 haren 	 anatomy 
 hair ; pilus 	 haar ; haren 	 anatomy 
 hammer 	 hameren 	 object 
 hand ; manus ; mitt ; paw 	 hand 	 anatomy 
 handle ; grip ; handgrip ; hold 	 greep 	 object 
 hapless ; miserable ; misfortunate ; pathetic ; piteous ; pitiable ; pitiful ; poor ; wretched 	 arm 	 adjective 
 happen ; hap ; go on ; pass off ; occur ; pass ; fall out ; come about ; take place 	 gebeuren 	 verb 
 happy 	 gelukkig ; blij ; opgewekt 	 adjective 
 hash out ; discuss ; talk over 	 bespreken 	 verb 
 hat ; chapeau ; lid 	 hoed 	 clothes 
 hate ; detest 	 haten 	 verb 
 hate ; hatred 	 haat 	 relations 
 hateful ; mean 	 gemeen 	 adjective 
 have ; have got ; hold 	 hebben 	 verb 
 hazard ; jeopardy ; peril ; risk ; endangerment 	 risico 	 transport 
 he 	 hij 	 pronoun 
 head ; caput 	 hoofd 	 anatomy 
 head ; chief ; top dog 	 chef 	 society 
 health 	 gezondheid 	 abstract 
 health ; wellness 	 gezondheid ; welzijn 	 medicine 
 healthy 	 gezond ; gezonde 	 adjective 
 healthy ; salubrious ; good for you 	 gezond 	 adjective 
 hear 	 horen 	 verb 
 heart ; pump ; ticker 	 hart 	 anatomy 
 heavy 	 zwaar ; zware 	 adjective 
 heed ; mind ; listen 	 aandacht 	 verb 
 hello ; hullo ; hi ; howdy ; how-do-you-do 	 hallo ; hoi ; goedendag ; hi 	 linguistics 
 help ; assist ; aid 	 helpen 	 verb 
 her 	 haar 	 pronoun 
 here 	 hier 	 adverb 
 here ; hither 	 hier 	 adverb 
 herself 	 zich 	 pronoun 
 high 	 hoog 	 adjective 
 hill 	 aanaarden ; heuvel 	 nature 
 him 	 hem 	 pronoun 
 himself 	 zich 	 pronoun 
 his 	 zijn 	 pronoun 
 historic period ; age 	 tijdperk 	 time 
 history 	 geschiedenis 	 society 
 hit ; hitting ; striking 	 slag 	 abstract 
 hog ; pig ; grunter ; squealer ; Sus scrofa 	 zwijn ; varken 	 animal 
 hole 	 holte ; put ; kuil ; gat ; opening 	 abstract 
 home ; place 	 thuis 	 house 
 homo ; man ; human being ; human 	 mens ; homosapien 	 family 
 hook ; claw 	 haak ; boog 	 object 
 hope 	 hopen 	 verb 
 horse ; Equus caballus 	 paard 	 animal 
 hospital ; infirmary 	 ziekenhuis ; hospitaal ; gasthuis 	 city 
 hot 	 heet 	 adjective 
 hotel 	 hotel 	 city 
 hotness ; heat ; high temperature 	 hitte 	 medicine 
 hour ; hr ; 60 minutes 	 uur 	 time 
 house 	 huis 	 house 
 however ; nevertheless ; withal ; still ; yet ; all the same ; even so ; nonetheless ; notwithstanding 	 echter 	 adverb 
 human 	 menselijk 	 adjective 
 humor ; humour ; sense of humor ; sense of humour 	 humor 	 communication 
 hungry 	 hongerig 	 adjective 
 hurt ; injure 	 bezeren 	 verb 
 husband ; hubby ; married man 	 echtgenoot 	 family 
 ice 	 ijs 	 nature 
 ice ; water ice 	 ijs 	 material 
 idea ; thought 	 idee ; gedachte ; ingeving 	 communication 
 identify ; place 	 opsporen 	 verb 
 if 	 als ; indien 	 conjunction 
 ill ; sick 	 ziek ; zieke 	 adjective 
 image 	 imago 	 art 
 imitate ; copy ; simulate 	 nabootsen 	 verb 
 immediately ; instantly ; straightaway ; straight off ; directly ; now ; right away ; at once ; forthwith ; like a shot 	 onmiddellijk 	 adverb 
 impatient 	 ongeduldig 	 adjective 
 imperial ; majestic ; purple ; regal ; royal 	 koninklijk 	 adjective 
 important ; of import 	 belangrijk 	 adjective 
 in ; inwards ; inward 	 binnen 	 adverb 
 inaugural ; initiative ; initiatory ; first ; maiden 	 eerste 	 adjective 
 include 	 bevatten 	 verb 
 income 	 inkomsten 	 business 
 incorporate ; contain ; comprise 	 bevatten 	 verb 
 incorrect ; wrong 	 onjuist 	 adjective 
 increase 	 stijgen 	 verb 
 increase ; increment 	 toename 	 abstract 
 increase ; increment ; growth 	 groei 	 abstract 
 individual 	 individu 	 society 
 individual ; private 	 individueel 	 adjective 
 induce ; stimulate ; cause ; have ; get ; make 	 teweegbrengen 	 verb 
 industrial 	 industrieel 	 adjective 
 industry ; manufacture 	 vlijt 	 society 
 infinitesimal ; minute 	 nietig 	 adjective 
 information 	 informatie 	 communication 
 information ; info 	 informatie 	 communication 
 injure ; wound 	 verwonden ; kwetsen 	 verb 
 ink 	 inkt 	 material 
 insect 	 insekt ; insect ; nietsnut 	 animal 
 inside ; within 	 binnenin 	 adverb 
 institution ; establishment 	 instelling 	 society 
 instrument 	 instrument ; muziekinstrument 	 device 
 insurance 	 verzekering 	 business 
 intelligent 	 knap 	 adjective 
 intend ; mean ; think 	 van plan zijn 	 verb 
 interest 	 rente 	 business 
 interest ; involvement 	 interesse 	 communication 
 interesting 	 interessant 	 adjective 
 international 	 internationaal ; internationale 	 adjective 
 internet ; net ; cyberspace 	 internet 	 mathematics 
 interview 	 interviewen 	 communication 
 into 	 binnen 	 preposition 
 introduce ; present ; acquaint 	 voorstellen 	 verb 
 invention ; innovation ; excogitation ; conception ; design 	 uitvinding 	 art 
 iron ; Fe ; atomic number 26 	 ijzeren 	 material 
 island 	 eiland ; eilanden 	 nature 
 issue 	 kwestie 	 communication 
 issue ; number 	 nummer 	 mathematics 
 it 	 het 	 pronoun 
 its 	 zijn 	 pronoun 
 jacket 	 jasje 	 clothes 
 jewel ; gem ; precious stone 	 juweel 	 object 
 job ; task ; chore 	 werk 	 business 
 join ; bring together 	 verbinden 	 verb 
 jolt ; jar ; jounce ; shock 	 ruk ; schok 	 transport 
 journalist 	 journalist 	 profession 
 journey ; journeying 	 verblijf 	 transport 
 judge ; justice ; jurist 	 rechter 	 profession 
 jump ; leap ; bound ; spring 	 springen 	 verb 
 keep ; maintain ; hold 	 houden 	 verb 
 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 kern 	 abstract 
 key 	 sleutel (de) 	 house 
 key 	 toets 	 object 
 kick 	 trappen 	 verb 
 kick ; boot ; kicking 	 schop 	 abstract 
 kill 	 doden 	 verb 
 kind 	 lief 	 adjective 
 kind ; sort ; form ; variety 	 soort 	 abstract 
 king ; male monarch ; Rex 	 koning ; heer 	 society 
 kiss ; buss ; osculation 	 kus 	 relations 
 kitchen 	 keuken 	 house 
 knee ; knee joint ; human knee ; articulatio genus ; genu 	 knie 	 anatomy 
 knife 	 mes 	 food 
 knot 	 knopen ; knoop 	 object 
 laid ; set 	 vastgesteld 	 adjective 
 lake 	 meer 	 nature 
 land ; dry land ; earth ; ground ; solid ground ; terra firma 	 land 	 nature 
 land ; ground ; soil 	 grond 	 material 
 land ; set down 	 aan land gaan 	 verb 
 language ; linguistic communication 	 taal 	 communication 
 large ; big 	 groot 	 adjective 
 last 	 laatste 	 adjective 
 last ; lastly ; in conclusion ; finally 	 ten slotte 	 adverb 
 late 	 laat 	 adjective 
 late ; belatedly ; tardily 	 laat 	 adverb 
 laugh ; express joy ; express mirth 	 lachen 	 verb 
 law 	 recht ; wet , recht 	 society 
 lead ; Pb ; atomic number 82 	 lood 	 material 
 lead ; take ; direct ; conduct ; guide 	 leiden 	 verb 
 leader 	 gebieder ; leider ; leidster ; aanvoerder ; aanvoerster 	 society 
 leaf ; leafage ; foliage 	 blad 	 nature 
 leap ; jump ; saltation 	 sprong 	 abstract 
 learn ; larn ; acquire 	 leren 	 verb 
 least ; to the lowest degree 	 minst 	 adverb 
 leather 	 leder ; leer 	 material 
 leave 	 laten 	 verb 
 leave ; leave of absence 	 verlof 	 society 
 left 	 links 	 adjective 
 leg 	 been 	 anatomy 
 legal 	 wettig 	 adjective 
 less 	 minder 	 adjective 
 let 	 liet 	 verb 
 let ; allow ; permit 	 toelaten 	 verb 
 letter ; letter of the alphabet ; alphabetic character 	 Karakter , letter 	 linguistics 
 letter ; missive 	 brief 	 object 
 library 	 bibliotheek 	 city 
 lie 	 liegen 	 verb 
 lie 	 liggen 	 verb 
 lie ; prevarication 	 leugen 	 communication 
 life 	 leven 	 nature 
 life 	 leven 	 time 
 light 	 licht ; lichte 	 adjective 
 light ; lite ; low-cal ; calorie-free 	 dieet 	 adjective 
 light ; visible light ; visible radiation 	 licht 	 nature 
 like 	 houden van ; graag hebben ; lusten ; graag lusten 	 verb 
 like ; similar 	 vergelijkbaar 	 adjective 
 limit ; bound ; boundary 	 limiet 	 mathematics 
 line 	 lijn 	 mathematics 
 lion ; king of beasts ; Panthera leo 	 leeuw 	 animal 
 lip 	 lip 	 anatomy 
 liquid 	 vloeistof 	 nature 
 liquid 	 vloeistof ; vloeibaar ; vloeibare 	 adjective 
 list ; listing 	 lijst 	 abstract 
 listen ; hear ; take heed 	 beluisteren 	 verb 
 little 	 beetje 	 adverb 
 load ; charge 	 laden 	 verb 
 local 	 plaatselijk 	 adjective 
 lock 	 slot 	 house 
 lock 	 sluiten ; afsluiten 	 verb 
 long 	 lang 	 adjective 
 long 	 lang ; lange 	 adjective 
 look 	 kijken 	 verb 
 look ; appear ; seem 	 er uitzien 	 verb 
 lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 wacht 	 profession 
 lose 	 verliezen 	 verb 
 lose 	 verliezen 	 verb 
 loss 	 verlies 	 business 
 loud 	 luid ; luide ; hard ; harde 	 adjective 
 love 	 houden van 	 verb 
 love 	 liefde 	 relations 
 low 	 laag 	 adjective 
 low ; depression 	 Lage druk gebied 	 nature 
 lucky 	 gelukkig 	 adjective 
 lunch ; luncheon ; tiffin ; dejeuner 	 lunch ; middageten 	 food 
 machine 	 machine 	 device 
 magazine ; mag 	 tijdschrift ; magazine ; blad 	 object 
 mail ; mail service ; postal service ; post 	 post 	 communication 
 mail ; post ; send 	 op de post doen 	 verb 
 majority ; bulk 	 meerderheid 	 abstract 
 make ; create 	 scheppen 	 verb 
 make ; do 	 doen 	 verb 
 male 	 mannelijk 	 adjective 
 male ; male person 	 man 	 society 
 male ; manful ; manlike ; manly ; virile 	 mannelijk 	 adjective 
 male child ; boy 	 jongen 	 family 
 man ; adult male 	 man ; volwassen man 	 family 
 manage ; deal ; care ; handle 	 leiden 	 verb 
 management 	 directie 	 business 
 management ; direction 	 administratiekantoor 	 society 
 manner ; mode ; style ; way ; fashion 	 wijze ; manier ; stijl 	 mathematics 
 many 	 velen 	 adjective 
 map 	 kaart 	 object 
 mark ; grade ; score 	 cijfer 	 education 
 marker ; marking ; mark 	 markering ; aanduiding ; teken 	 abstract 
 market ; marketplace ; market place 	 market 	 business 
 marriage ; matrimony ; union ; spousal relationship ; wedlock 	 huwelijk 	 society 
 marriage ; wedding ; marriage ceremony 	 huwelijk 	 family 
 married 	 getrouwd 	 adjective 
 marry ; get married ; wed ; conjoin ; hook up with ; get hitched with ; espouse 	 trouwen ; huwen ; zich in de echt verbinden 	 verb 
 mass 	 mis 	 physics 
 master ; master copy ; original 	 origineel 	 object 
 match 	 spel 	 sports 
 match ; fit ; correspond ; check ; jibe ; gibe ; tally ; agree 	 corresponderen 	 verb 
 match ; lucifer ; friction match 	 lucifer 	 object 
 material 	 materieel 	 adjective 
 material ; stuff 	 materieel 	 material 
 matter 	 materie 	 material 
 matter ; affair ; thing 	 aangelegenheid 	 abstract 
 me 	 me 	 pronoun 
 meal ; repast 	 maaltijd 	 food 
 mean 	 bedoelen 	 verb 
 mean ; mean value 	 gemiddelde 	 mathematics 
 meaning ; pregnant ; significant 	 veelbetekenend 	 adjective 
 means ; agency ; way 	 manier 	 abstract 
 measure ; mensurate ; measure out 	 meten 	 verb 
 measure ; step 	 maatregel 	 abstract 
 measurement ; measuring ; measure ; mensuration 	 meting 	 art 
 meat 	 vlees 	 food 
 medical 	 geneeskundig 	 adjective 
 meet ; run into ; encounter ; run across ; come across ; see 	 ontmoeten 	 verb 
 meeting ; coming together 	 samenkomst, bijeenkomst 	 communication 
 member ; fellow member 	 lid 	 society 
 memory 	 herinnering 	 communication 
 memory ; retention ; retentiveness ; retentivity 	 geheugen 	 communication 
 menstruation ; menses ; menstruum ; catamenia ; period ; flow 	 menstruatie 	 medicine 
 mention ; advert ; bring up ; cite ; name ; refer 	 noemen 	 verb 
 menu ; bill of fare ; card ; carte du jour ; carte 	 kaart 	 object 
 merely ; simply ; just ; only ; but 	 slechts ; alleen maar 	 adverb 
 metallic ; metal 	 metalen 	 adjective 
 metallic element ; metal 	 metaal 	 material 
 method 	 methode 	 mathematics 
 metro ; tube ; underground ; subway system ; subway 	 metro 	 transport 
 midnight 	 middernacht 	 time 
 might ; mightiness ; power 	 macht 	 abstract 
 military 	 militair 	 adjective 
 military ; armed forces ; armed services ; military machine ; war machine 	 krijgsmacht 	 society 
 milk 	 melk 	 food 
 milkshake ; milk shake ; shake 	 milkshake 	 food 
 million ; 1000000 ; one thousand thousand ; meg 	 miljoen 	 number 
 mind ; head ; brain ; psyche ; nous 	 verstand ; geest ; psyche ; denkvermogen 	 mathematics 
 mine 	 mijn 	 object 
 minister ; government minister 	 minister 	 profession 
 minor ; modest ; small ; small-scale ; pocket-size ; pocket-sized 	 gering 	 adjective 
 minute ; min 	 minuut 	 time 
 mirror 	 spiegel 	 house 
 miss 	 missen 	 verb 
 miss 	 missen 	 verb 
 mistake ; error ; fault 	 fout ; vergissing 	 communication 
 mod ; modern ; modernistic 	 modern 	 adjective 
 model 	 patroon 	 object 
 moisture ; wet 	 vochtigheid ; vocht 	 nature 
 moment ; minute ; second ; instant 	 ogenblik 	 mathematics 
 moment ; mo ; minute ; second ; bit 	 moment 	 time 
 money 	 kleingeld 	 business 
 monkey 	 aap ; apin 	 animal 
 month 	 maand 	 transport 
 more ; more than 	 meer 	 adjective 
 more ; to a greater extent 	 meer 	 adverb 
 morning ; morn ; morning time ; forenoon 	 ochtend 	 time 
 mother ; female parent 	 moeder 	 family 
 motion ; movement ; move ; motility 	 beweging 	 physics 
 mountain ; mount 	 berg 	 nature 
 mouth ; oral cavity ; oral fissure ; rima oris 	 mond 	 anatomy 
 move ; displace 	 verroeren 	 verb 
 movement ; motion 	 beweging 	 physics 
 movie ; film ; picture ; moving picture ; moving-picture show ; motion picture ; motion-picture show ; picture show ; pic ; flick 	 film 	 art 
 much 	 veel 	 adjective 
 muscle ; musculus 	 spier 	 anatomy 
 museum 	 museum 	 city 
 music 	 muziek 	 art 
 musician ; instrumentalist ; player 	 muzikant 	 profession 
 my 	 mijn 	 pronoun 
 nail 	 nagel 	 anatomy 
 nail 	 nagel ; spijker 	 object 
 name 	 naam 	 linguistics 
 name ; call 	 noemen 	 verb 
 narrow 	 nauw 	 adjective 
 nation ; land ; country 	 natie ; staat 	 society 
 national 	 nationaal 	 adjective 
 national 	 vaderlands 	 adjective 
 natural 	 natuurlijk 	 adjective 
 natural language ; tongue 	 taal 	 linguistics 
 nature 	 natuur 	 nature 
 near ; close ; nigh 	 dichtbij 	 adjective 
 necessary 	 nodig 	 adjective 
 necessitate ; ask ; postulate ; need ; require ; take ; involve ; call for ; demand 	 hebben 	 verb 
 neck ; cervix 	 hals ; klap 	 anatomy 
 necktie ; tie 	 stropdas 	 clothes 
 need ; demand 	 nodig hebben 	 abstract 
 needle 	 naald 	 medicine 
 neighbor ; neighbour 	 nabuur ; buurman ; buurvrouw ; buren (plural) 	 family 
 nerve ; nervus 	 zenuw 	 anatomy 
 net ; network ; mesh ; meshing ; meshwork 	 net 	 material 
 net income ; net ; net profit ; lucre ; profit ; profits ; earnings 	 profijt ; winst 	 business 
 nether ; under 	 onder 	 adjective 
 never 	 nooit 	 adverb 
 new 	 nieuw 	 adjective 
 news ; intelligence ; tidings ; word 	 nieuws 	 society 
 newspaper ; paper 	 krant ; nieuwsblad ; dagblad 	 object 
 nice 	 aardig 	 adjective 
 night ; nighttime ; dark 	 nacht 	 nature 
 nine ; 9 ; ix 	 negen 	 number 
 nineteen ; 19 ; xix 	 negentien 	 number 
 ninety ; 90 ; xc 	 negentig 	 number 
 ninth ; 9th 	 negende, 9de, 9e 	 number 
 no 	 geen 	 adjective 
 no 	 nee ; neen 	 abstract 
 noise ; dissonance ; racket 	 ruis 	 society 
 nor 	 noch 	 conjunction 
 normal 	 normaal 	 adjective 
 normally ; usually ; unremarkably ; commonly ; ordinarily 	 gewoonlijk 	 adverb 
 north 	 noord ; noordelijk 	 adjective 
 north ; due north ; northward ; N 	 noorden 	 logistics 
 nose ; olfactory organ 	 neus 	 anatomy 
 not ; non 	 niet 	 adverb 
 note ; annotation ; notation 	 aantekening 	 communication 
 note ; musical note ; tone 	 noot 	 art 
 nothing ; nil ; nix ; nada ; null ; aught ; cipher ; cypher ; goose egg ; naught ; zero ; zilch ; zip ; zippo 	 niets 	 mathematics 
 now 	 nu 	 time 
 now ; at present 	 nu ; momenteel 	 adverb 
 number 	 getal 	 linguistics 
 number 	 nummeren 	 verb 
 nurse 	 verpleegster 	 profession 
 nut 	 moer 	 object 
 nut 	 noot 	 food 
 obtain 	 krijgen 	 verb 
 obviously ; evidently ; manifestly ; patently ; apparently ; plainly ; plain 	 duidelijk 	 adverb 
 occupation ; business ; job ; line of work ; line 	 werk 	 business 
 of 	 van 	 preposition 
 off 	 van 	 adjective 
 offer 	 aanbieden 	 verb 
 offer ; offering 	 aanbod 	 abstract 
 office ; business office 	 kantoor 	 business 
 officeholder ; officer 	 ambtenaar 	 profession 
 oil 	 olie ; aardolie 	 material 
 old 	 oud 	 adjective 
 olfactory property ; smell ; aroma ; odor ; odour ; scent 	 geur ; reuk ; stank 	 nature 
 on 	 tot 	 adjective 
 once ; one time ; in one case 	 eens 	 adverb 
 one ; 1 ; i ; ane 	 een 	 number 
 one-half ; half 	 half ; helft 	 mathematics 
 open ; open up 	 openen 	 verb 
 open ; opened 	 open ; geopend 	 adjective 
 open ; unfastened 	 open ; geopend 	 adjective 
 open fire ; fire 	 vuren ; afvuren ; schieten 	 verb 
 operate ; control 	 bedienen 	 verb 
 operation 	 operatie ; bewerking 	 abstract 
 operation ; functioning ; performance 	 werking 	 mathematics 
 opinion ; sentiment ; persuasion ; view ; thought 	 gedachte ; mening ; opinie ; visie ; zienswijze 	 communication 
 opportunity ; chance 	 kans ; mogelijkheid ; gelegenheid 	 abstract 
 opposite 	 tegenovergesteld 	 adjective 
 option ; alternative ; choice 	 alternatief 	 abstract 
 or 	 of 	 conjunction 
 orange 	 sinaasappel 	 food 
 orange ; orangish 	 oranje 	 color 
 orchestra 	 orkest 	 art 
 order 	 order ; 	 society 
 order 	 volgorde 	 linguistics 
 order ; monastic order 	 orde 	 society 
 order ; tell ; enjoin ; say 	 ordenen ; bevelen 	 verb 
 organization ; organisation 	 organisatie 	 society 
 original 	 origineel 	 adjective 
 other 	 ander 	 adjective 
 our 	 ons ; onze 	 pronoun 
 outburst ; burst ; flare-up 	 uitbarsting 	 abstract 
 outside 	 buiten 	 adverb 
 oven 	 oven 	 device 
 own ; ain 	 eigen 	 adjective 
 own ; have ; possess 	 bezitten 	 verb 
 owner ; possessor 	 bezitter 	 business 
 package ; bundle ; packet ; parcel 	 pak 	 object 
 page 	 bladzijde ; pagina 	 object 
 pain ; hurting 	 pijn 	 medicine 
 paint ; pigment 	 verf 	 art 
 painting ; picture 	 schilderij ; afbeelding ; prent ; portret ; illustratie 	 art 
 paper 	 papier ; document ; werk ; eindwerk 	 material 
 parallel 	 parallel 	 adjective 
 parent 	 ouder 	 family 
